p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
r,.,b,.,k,.,.,r,p,p,.,.,.,p,p,p,.,.,p,.,p,n,.,.,.,B,.,.,.,.,.,.,.,b,.,Q,.,.,.,.,.,.,N,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,Qxb4,d4b4
r,.,b,.,k,.,.,r,p,p,.,.,.,p,p,p,.,.,.,.,p,n,.,.,.,p,.,.,.,.,.,.,.,Q,.,.,.,.,.,.,.,.,N,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,Nxb5,c3b5
r,.,b,.,k,.,.,r,p,p,.,.,.,p,p,p,.,.,.,.,p,.,.,.,.,N,.,n,.,.,.,.,.,Q,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,Qd6,b4d6
r,.,b,.,k,.,.,r,.,p,.,.,.,p,p,p,p,.,.,Q,p,.,.,.,.,N,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,Nc3,b5c3
r,.,.,.,k,.,.,r,.,p,.,b,.,p,p,p,p,.,.,Q,p,.,.,.,.,.,.,n,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,Nxd5,c3d5
r,.,.,.,k,.,.,r,.,p,.,b,.,p,p,p,p,.,.,Q,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,K,.,.,R,white,O-O,e1g1
.,.,k,r,.,.,.,r,.,p,.,b,.,p,p,p,p,.,.,Q,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,.,P,P,.,R,.,B,.,.,R,K,.,white,Bf4,c1f4
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,b,n,r,p,p,.,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,.,R,white,g3,g2g3
r,n,b,q,k,b,.,r,p,p,.,p,p,p,p,p,.,.,.,.,.,n,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,P,.,P,P,P,P,P,P,.,P,R,N,B,Q,K,B,.,R,white,Bg2,f1g2
r,.,b,q,k,b,.,r,p,p,.,p,p,p,p,p,.,.,n,.,.,n,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,P,.,P,P,P,P,P,P,B,P,R,N,B,Q,K,.,.,R,white,O-O,e1g1
r,.,b,q,k,b,.,r,p,p,.,.,p,p,p,p,.,.,n,.,.,n,.,.,.,.,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,P,.,P,P,P,P,P,P,B,P,R,N,B,Q,.,R,K,.,white,d4,d2d4
r,.,b,q,k,b,.,r,p,p,.,.,.,p,p,p,.,.,n,.,p,n,.,.,.,.,p,p,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,P,.,P,P,B,P,R,N,B,Q,.,R,K,.,white,c4,c2c4
r,.,b,q,k,.,.,r,p,p,.,.,b,p,p,p,.,.,n,.,p,n,.,.,.,.,p,p,.,.,.,.,.,.,P,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,.,P,P,B,P,R,N,B,Q,.,R,K,.,white,cxd5,c4d5
r,.,b,q,k,.,.,r,p,p,.,.,b,p,p,p,.,.,n,.,.,n,.,.,.,.,p,p,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,N,P,.,P,P,.,.,P,P,B,P,R,N,B,Q,.,R,K,.,white,Nc3,b1c3
